domain,name,website,type,authors
rupp.edu.kh,Royal University of Phnom Penh,https://www.rupp.edu.kh,public,91
itc.edu.kh,Institute of Technology of Cambodia,https://itc.edu.kh,public,85
puthisastra.edu.kh,University of Puthisastra,https://www.puthisastra.edu.kh,private,75
rua.edu.kh,Royal University of Agriculture,https://www.rua.edu.kh,public,41
nubb.edu.kh,National University of Battambang,https://nubb.edu.kh/en,public,35
npic.edu.kh,National Polytechnic Institute of Cambodia,https://npic.edu.kh,public,29
paragoniu.edu.kh,Paragon International University,https://www.paragoniu.edu.kh,private,28
aupp.edu.kh,American University of Phnom Penh,https://www.aupp.edu.kh,private,20
camtech.edu.kh,Cambodia University of Technology and Science,https://camtech.edu.kh,public,12
nie.edu.kh,National Institute of Education,https://nie.edu.kh/en,public,12
cadt.edu.kh,Cambodia Academy of Digital Technology,https://cadt.edu.kh,public,11
sru.edu.kh,Svay Rieng University,https://sru.edu.kh,public,9
uc.edu.kh,University of Cambodia,https://www.uc.edu.kh,private,8
uhs.edu.kh,University of Health Sciences,https://www.uhs.edu.kh,public,7
puc.edu.kh,Pannasastra University of Cambodia,https://www.puc.edu.kh,private,6
num.edu.kh,National University of Management,https://numuniversity.com,public,6
bbu.edu.kh,Build Bright University,https://web.bbu.edu.kh,private,3
nmu.edu.kh,National Meanchey University,https://nmu.edu.kh,public,3
ppiu.edu.kh,Phnom Penh International University,https://www.ppiu.edu.kh,private,3
ppua.edu.kh,Phnom Penh International Institute of the Arts,https://ppua.edu.kh,public,3
westernuniversity.edu.kh,Western University,https://westernuniversity.edu.kh,private,3
aub.edu.kh,ACLEDA Institute of Business,https://www.aub.edu.kh,private,2
iu.edu.kh,International University,https://www.iu.edu.kh,private,2
mekong.edu.kh,Cambodian Mekong University,https://mekong.edu.kh,private,2
rule.edu.kh,Royal University of Law and Economics,https://rule.edu.kh,public,2
ume.edu.kh,University of Management and Economics,https://www.ume.edu.kh,private,2
usea.edu.kh,University of Southeast Asia,https://www.usea.edu.kh,private,2
aeu.edu.kh,Asia Euro University,https://www.aeu.edu.kh,private,1
aib.edu.kh,ACLEDA Institute of Business,https://www.aub.edu.kh,private,1
angkor.edu.kh,Angkor University,https://www.angkor.edu.kh,private,1
beltei.edu.kh,Beltei International University,https://www.beltei.edu.kh/biu,private,1
diu.edu.kh,Dewey International University,https://diu.edu.kh,private,1
eamu.edu.kh,East Asia Management University,https://eamu.edu.kh,private,1
ntti.edu.kh,National Technical Training Institute,https://www.ntti.edu.kh,public,1
psbu.edu.kh,Preah Sihamoniraja Buddhist University,https://psbu.edu.kh,public,1
rac.gov.kh,Royal Academy of Cambodia,https://rac.gov.kh,public,1
norton-u.com,Norton University,https://www.norton-u.com,private,0
iic.edu.kh,IIC University of Technology,https://www.iic.edu.kh,private,0
cam-ed.edu.kh,CamEd Business School,https://cam-ed.edu.kh,private,0
cus.edu.kh,Cambodian University for Specialties,https://www.cus.edu.kh,private,0
hru.edu.kh,Human Resources University,https://www.hru.edu.kh/en,private,0
vanda.edu.kh,Vanda Institute,https://vanda.edu.kh,private,0
pcu.edu.kh,Panha Chiet University,https://www.pcu.edu.kh,private,0
lifeun.edu.kh,Life University,https://lifeun.edu.kh,private,0
khemarakuniversity.edu.kh,Khemarak University,https://khemarakuniversity.edu.kh,private,0
cumt.edu.kh,Khmer University of Technology and Management,https://cumt.edu.kh,private,0
spi.edu.kh,Saint Paul Institute,https://spi.edu.kh,private,0
kit.edu.kh,Kirirom Institute of Technology,https://www.kit.edu.kh,private,0
uef.edu.kh,University of Economics and Finance,https://uef.edu.kh,private,0
dmuc.edu.kh,De Montfort University Cambodia,https://dmuc.edu.kh,private,0
limkokwing.edu.kh,Limkokwing University of Creative Technology,http://limkokwing.edu.kh,private,0
ciedi.edu.kh,Cambodia-India Entrepreneurship Development Institute,http://ciedi.edu.kh,public,0
rufa.edu.kh,Royal University of Fine Arts,https://www.rufa.edu.kh,public,0
nuck.edu.kh,Chea Sim University of Kamchay Mear,https://nuck.edu.kh,public,0
nia.edu.kh,Prek Leap National Institute of Agriculture,https://nia.edu.kh,public,0
nib.edu.kh,National Institute of Business,https://www.nib.edu.kh,public,0
era.gov.kh,Royal School of Administration,http://era.gov.kh,public,0
cardi.org.kh,Cambodian Agricultural Research and Development Institute,http://www.cardi.org.kh,public,0
